"Song_Name","AVG_Energy","SD_Energy","ZCR_mean","ZCR_sd","Centroid","BW","RollOff","BER_subbass","BER_bass","BER_low_mid","BER_mid","BER_high_mid","BER_treble","MEL_mean","MEL_sd","Fuerza_Pulso","mfcc_2","mfcc_3","mfcc_4","mfcc_5","mfcc_6","mfcc_7","mfcc_8","mfcc_9","TempoLog","Genero"
"＂Comin' Home Baby＂  Herbie Mann [RJEjFh2FOzA].wav",0.0122961591798249,0.0320197292489373,0.0359774928695781,0.0314824214859167,2.51033388967506,3.99146644580064,187.5,0.560478173881743,0.067516311346119,0.0114254499899684,0.00717185186110198,0.00412960185370944,0.00311518129858744,-1.82915939018565,14.7691231329627,1.0938,120.39473200872,10.2625189130919,51.2294996958028,8.18488368712617,20.6217337261798,-1.92681057384827,9.34756008659956,-3.77976205420991,7.2877,"Jazz"
"＂Groove＂ Holmes - ＂Misty＂ [1OKduoWWWsE].wav",0.0248356943871433,0.0417301084174176,0.02968339074712,0.0194880018848721,1.88343011063167,3.15507557156985,421.875,0.373105734163517,0.0925181004868128,0.0798221216447806,0.0748404704784091,0.00314224672585785,0.00385415248308803,-1.74822900051071,15.6516207228005,1.1338,153.937152111296,0.300692791143672,42.2376424961637,-10.523354471048,33.8708447018076,-0.53718075684722,10.2021089790996,3.81333786819188,6.5035,"Jazz"
"1939 HITS ARCHIVE： Little Brown Jug - Glenn Miller [fMWl8ck8XSk].wav",0.00816591314341051,0.024129856082621,0.03838250546357,0.0328577526078074,1.90131461425206,1.88708332678316,1781.25,0.233757128888065,0.0913266662856455,0.0460609399641613,0.269704480682616,0.0981093744966305,0.00651932365826039,-3.78502706264689,18.7022403776786,0.9761,178.694375303321,-34.2935378589714,14.3958329562516,32.4628043044207,3.50430177764209,17.3237212786658,10.9768352278324,-18.0853037543755,6.5507,"Jazz"
"Art Blakey & the Jazz Messengers - Along Came Betty [CTzRHq_cH5E].wav",0.0292219980410189,0.053984177224972,0.0462388182020225,0.0363073546400073,2.80759713412033,4.11076470701444,890.625,0.216342574936001,0.29945181062778,0.0976538143467241,0.0527610000359831,0.0107512395491722,0.00923206061463049,-2.98587538603522,13.0417031918185,0.9502,138.98524631623,-7.98623293863078,29.2296379899862,-7.30208995579404,29.3233046892454,-12.7132446462464,18.180343250917,-11.1022353164554,6.7852,"Jazz"
"Art Blakey & the Jazz Messengers - Moanin' [8TdY6iqV2k0].wav",0.0225032474200677,0.0496464599440243,0.0512526854835721,0.0353597859544812,3.03493322522409,4.12122530689301,1265.625,0.175300366060123,0.215072686701469,0.127284717894412,0.0918780392620271,0.0285042836151885,0.012867998097606,-4.0991402053659,13.9057348532361,1.0504,137.532870336397,-7.64264375799589,17.8401230177877,-9.04916651584782,23.2900577646289,-12.2165751813671,6.46797476921358,-12.8227950977316,6.9982,"Jazz"
"Art Pepper－You'd Be So Nice to Come Home To [xISaCzXYYg8].wav",0.0100868793160711,0.0211151625352254,0.0427369244730896,0.0302849896795883,2.18394117270273,2.77955721754601,796.875,0.155441156108728,0.101687130546194,0.165555001320683,0.0861273049992304,0.0182451418084402,0.0107497388617205,-3.09455190102229,19.4149997369171,0.993,146.589388738423,-21.608191450398,56.7817737361473,-9.97085723082519,13.7400604487816,5.81375054533513,-8.90229249910988,10.5463600179794,6.4804,"Jazz"
"Blue Monk, Thelonius Monk [_40V2lcxM7k].wav",0.0544705614051834,0.103676154086108,0.0587022400637108,0.0380966827520005,2.6548916749662,3.0452670538496,843.75,0.196386972674439,0.252904800408958,0.0672374412454351,0.0304307975595817,0.0394221858963286,0.0278936563733618,-2.96525438149839,14.7388083241632,0.9872,153.923884325099,-33.6792026470398,59.4670170779903,-17.8816963860738,14.6022898195697,4.22623323731226,-7.02075165340591,10.7982774889566,7.1357,"Jazz"
"Bud Powell - Collard Greens and Black Eyed Peas [N76ErzOdk9g].wav",0.0153020547577784,0.0305296698974916,0.0245273780420047,0.0194965420049436,1.66686971611719,3.07149501054592,562.5,0.260955807494206,0.287194911308727,0.0654459176233686,0.0165541192419815,0.00497948530852568,0.00230225462889599,-2.57906228445337,14.2574751293052,1.1101,162.643833300543,18.2478613306806,30.0171873498421,1.40264201388428,11.6836674388812,-0.856463784560336,6.70224126780765,-5.26825053980874,6.4576,"Jazz"
"Charlie ＂Bird＂ Parker - Yardbird Suite [HmroWIcCNUI].wav",0.0346899867214712,0.0601722430894561,0.0183617624180465,0.0124901170512231,0.967672463447629,1.46380580383842,421.875,0.272950670874574,0.107050195246128,0.115147757165568,0.01834007488818,0.00473792670077118,0.00019377816263179,-1.84306028776133,17.5611253857938,0.9813,190.628026411397,-2.2966076972264,21.9928627368905,28.6501653860857,-1.0724442604808,8.11871387752707,11.2999832357365,4.5135780144125,6.7297,"Jazz"
"Charlie Parker - Scrapple from the Apple (1948) [c-69SscIpC8].wav",0.0145592474267998,0.0305631448607611,0.0360744943882654,0.0222817648724633,1.53089441733048,1.57440505628432,890.625,0.251497996031338,0.124201313772045,0.0953924347095618,0.0939332740765857,0.0519482759524951,0.00045929273053377,-3.42993496451954,21.4414875315885,0.8718,162.268228576979,-31.5631092871318,21.1430628165628,43.4033992904872,-9.53378791050744,3.06126464823457,13.4446605132629,-6.06656216845569,6.6503,"Jazz"
"Charlie Parker- Confirmation [yXK0pZx92MU].wav",0.0339398534368136,0.0629958750466913,0.0671037522687706,0.0268945719042971,2.84739837759073,2.97485931790415,2062.5,0.141618116710947,0.13513048868153,0.102707909243813,0.120989064089993,0.0762937740629372,0.0301734376473894,-2.36892291872853,14.871240068321,1.0788,146.306506322357,-55.6001838052175,68.4146978752551,-15.4934515441924,18.8517570225455,-0.864839473063137,5.89578302200133,-5.37922445883767,6.6503,"Jazz"
"Clifford Brown & Max Roach - Joy Spring [6tBJa8Ew6fQ].wav",0.0252032428541561,0.0457874930044566,0.0291528919879987,0.0197899831872932,2.11583576383707,3.41574433574228,515.625,0.319500059148888,0.104264766262875,0.0550041188932793,0.0424654208251357,0.0155788650162185,0.00321444835679786,-2.14616634268262,13.4569112570959,1.0367,152.052606431911,-2.21192373254654,31.3345903284314,8.47412868926445,27.8416069210799,-7.2808177649423,13.5404491525316,-1.40310249676457,6.3702,"Jazz"
